,trade_Trade Policy EMV Fraction,vix_Volume,infectious_daily_infect_emv_index,hsi_Close,sp500_Close,sp500_Volume,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2000-01-07,0.03585914727300566,0.0,0.2743446190514409,15828.976440522982,1414.792062515504,1059887247.7131778,23.047043126487726,11147.35288552858,187193941.8970616,3655.7726307057237,1648899814.2386663,18819.666400123584,591.358227526327,6417.945124880103,941741284.511159,-18841.57345508039,950.2495531204609,175624.41788827628,22.441773446664996,-35.554657477140935,178.60297681997514,120.88561910984635
2000-01-14,0.03530837237912609,0.0,0.2837156012349059,15829.915121511387,1420.0330892744707,1062948163.5759912,22.813024707068646,11171.894231574215,189302492.07203057,3692.237599994028,1668661610.979247,18947.254279682704,376.73452229656505,6424.045168337883,986530439.1350462,-23338.668249014765,956.0848104545535,122056.32434801199,22.85858907088447,-24.30329103302178,156.70776864576328,119.08247018263732
2000-01-21,0.034352885229474404,0.0,0.3070267280953075,15851.314032919125,1419.4313840844143,1071759609.2419095,22.804165870620558,11112.420787740346,190017780.72719425,3744.3827704819196,1700252621.0182066,19096.18624463851,238.9260461291051,6400.465491129753,1054873577.7736218,-26361.56996103376,961.5863746250311,87782.05694142729,23.159951217006814,-9.064794882991592,128.01713281131376,115.11369878454622
2000-01-28,0.03317413888532521,0.0,0.3697865042668942,15962.961185132344,1412.6990987099364,1072120305.1996944,23.066030265408553,10992.009702996356,189215085.71101344,3782.867064857451,1721186708.1725287,19245.393512199145,150.43597897644577,6363.884575669428,1147805032.9450402,-28439.542448394,967.6952819961756,65896.58816556633,23.21694875859339,6.352417289338781,100.93751266351555,109.10220404070958
2000-02-04,0.031913690646950835,0.0,0.4085250776784056,16153.57742630677,1409.41683115199,1065569403.3409578,23.148442224105178,10875.77425186637,187126335.10961163,3854.1634138382005,1731684189.610385,19413.04491568468,93.60956296375662,6325.7467323995415,1300823833.1646163,-29912.397896058857,977.5383917358864,51966.42965941504,23.03399843380929,19.859043330810074,79.67078904915437,101.38919845802589
2000-02-11,0.030686216531517277,0.0,0.38069176955138706,16426.08599133149,1405.4177610259023,1063884040.7482587,23.257066449762306,10735.56760539691,187086786.2221915,3946.850284576779,1772118308.9994736,19537.262295861292,57.111276603040096,6297.429514266834,1407537196.5844646,-30998.307606704533,988.8905261050468,43144.97935872339,22.69839658978291,30.466656139647583,65.74345025582876,92.45150399852871
2000-02-18,0.02958716183894548,0.0,0.3667277195791464,16618.41274251516,1399.1282105658267,1070896878.9546304,23.439210124478844,10596.64374136616,191142719.8058585,4027.361129807073,1809884120.5393062,19589.898344058165,33.66295440947761,6280.430852560404,1357927946.217156,-31837.340877655894,995.5119194019944,37604.5175542701,22.34640877800622,37.889136535591064,59.00191234307677,82.84590772316443
2000-02-25,0.028696554407597358,0.0,0.37898965542181673,16752.59203811612,1395.9980751145113,1087428567.0676842,23.509268557984065,10475.206325030711,196681236.2895954,4109.809617181499,1849549032.865717,19633.906597023488,18.59151444259078,6295.257828398117,1292680217.9001741,-32519.419752046466,1001.2060033381402,34171.5118820034,22.139130696393114,42.28424508864238,58.27259682494582,73.16947370182496
2000-03-03,0.028079741461617843,0.0,0.403926905998632,16906.88045605309,1401.9811757898317,1108696698.8411975,23.313967019670162,10424.098460742243,200932103.83068475,4184.997649366358,1887249239.7001967,19688.500852868823,8.8965061289,6347.689499430353,1222647303.5898268,-33102.26775933802,1009.7579445697753,32092.459703234956,22.243303756160742,44.083765958895846,61.81847807150101,64.02789181196067
2000-03-10,0.027785197082714725,0.0,0.39737763904712087,17031.85747851894,1412.8716609144585,1117490963.1360788,23.38242599938188,10423.917567436767,203830331.3316657,4239.864683416685,1886530466.5563407,19688.156003901473,2.6514160875867674,6404.531977850792,1165860973.397598,-33622.93415501714,1016.5078195402771,30883.543872650713,22.81325720161123,43.87832953180001,67.68320019718695,56.005547735445745
