Date,Open,High,Low,Close,Adj Close,Volume
2011-10-21,5384.700195,5500.500000,5384.700195,5488.700195,5488.700195,730196100
2011-10-24,5488.700195,5552.799805,5487.200195,5548.100098,5548.100098,677461300
2011-10-25,5548.100098,5574.100098,5465.500000,5525.500000,5525.500000,777723200
2011-10-26,5525.500000,5576.600098,5498.500000,5553.200195,5553.200195,705184200
2011-10-27,5553.200195,5747.299805,5553.200195,5713.799805,5713.799805,1454155000
2011-10-28,5713.799805,5746.899902,5685.000000,5702.200195,5702.200195,997001700
2011-10-31,5702.200195,5702.200195,5544.200195,5544.200195,5544.200195,1079784300
2011-11-01,5544.200195,5544.200195,5338.399902,5421.600098,5421.600098,1331043600
2011-11-02,5421.600098,5493.299805,5383.399902,5484.100098,5484.100098,1363052800
2011-11-03,5484.100098,5564.500000,5402.600098,5545.600098,5545.600098,1217183500
2011-11-04,5545.600098,5599.500000,5495.399902,5527.200195,5527.200195,873169300
2011-11-07,5527.200195,5557.799805,5432.200195,5510.799805,5510.799805,730611300
2011-11-08,5510.799805,5616.000000,5509.600098,5567.299805,5567.299805,885001700
2011-11-09,5567.299805,5615.799805,5426.299805,5460.399902,5460.399902,1074260600
2011-11-10,5460.399902,5497.200195,5360.200195,5444.799805,5444.799805,799967700
2011-11-11,5444.799805,5548.799805,5439.799805,5545.399902,5545.399902,715717500
2011-11-14,5545.399902,5575.200195,5489.299805,5519.000000,5519.000000,687675200
2011-11-15,5519.000000,5551.399902,5428.600098,5517.399902,5517.399902,841524400
2011-11-16,5517.399902,5562.899902,5450.200195,5509.000000,5509.000000,941320000
2011-11-17,5509.000000,5509.000000,5366.100098,5423.100098,5423.100098,1059574700
2011-11-18,5423.100098,5423.100098,5347.899902,5362.899902,5362.899902,826014000
2011-11-21,5362.899902,5362.899902,5221.700195,5222.600098,5222.600098,952410000
2011-11-22,5222.600098,5282.000000,5206.799805,5206.799805,5206.799805,914555700
2011-11-23,5206.799805,5206.799805,5139.799805,5139.799805,5139.799805,1009698000
2011-11-24,5139.799805,5184.299805,5099.000000,5127.600098,5127.600098,856420500
2011-11-25,5127.600098,5200.299805,5075.200195,5164.700195,5164.700195,733865300
2011-11-28,5164.700195,5327.799805,5164.700195,5312.799805,5312.799805,897909200
2011-11-29,5312.799805,5344.200195,5272.399902,5337.000000,5337.000000,794447300
2011-11-30,5337.000000,5539.000000,5275.000000,5505.399902,5505.399902,1647245500
2011-12-01,5505.399902,5553.899902,5486.899902,5489.299805,5489.299805,939174800
2011-12-02,5489.299805,5595.500000,5489.100098,5552.299805,5552.299805,984099700
2011-12-05,5552.299805,5602.799805,5545.899902,5568.000000,5568.000000,900658000
2011-12-06,5568.000000,5593.000000,5521.899902,5568.700195,5568.700195,857312600
2011-12-07,5568.700195,5631.899902,5498.000000,5546.899902,5546.899902,932154800
2011-12-08,5546.899902,5605.299805,5483.799805,5483.799805,5483.799805,907438000
2011-12-09,5483.799805,5540.500000,5440.899902,5529.200195,5529.200195,841432700
2011-12-12,5529.200195,5529.200195,5427.899902,5427.899902,5427.899902,801332300
2011-12-13,5427.899902,5526.000000,5413.700195,5490.200195,5490.200195,757732000
2011-12-14,5490.200195,5490.200195,5366.799805,5366.799805,5366.799805,860719700
2011-12-15,5366.799805,5434.000000,5366.799805,5400.899902,5400.899902,803271700
2011-12-16,5400.899902,5452.700195,5387.299805,5387.299805,5387.299805,1273215100
2011-12-19,5387.299805,5410.100098,5343.100098,5365.000000,5365.000000,632321300
2011-12-20,5365.000000,5426.299805,5328.700195,5419.600098,5419.600098,779731400
2011-12-21,5419.600098,5479.200195,5371.700195,5389.700195,5389.700195,803794200
2011-12-22,5389.700195,5469.000000,5389.700195,5457.000000,5457.000000,610838400
2011-12-23,5457.000000,5516.600098,5457.000000,5512.700195,5512.700195,204750100
2011-12-28,5512.700195,5567.899902,5491.000000,5507.399902,5507.399902,449839700
2011-12-29,5507.399902,5566.799805,5496.899902,5566.799805,5566.799805,325749000
