date,close,regime,log_returns,is_transition
2000-01-07,1441.469971,BEAR,,
2000-01-14,1465.150024,BEAR,0.016294236579824088,False
2000-01-21,1441.359985,BEAR,-0.016370540768230597,False
2000-01-28,1360.160034,BEAR,-0.05798473703449907,False
2000-02-04,1424.369995,BEAR,0.04612724230581595,False
2000-02-11,1387.119995,BEAR,-0.026499955540096935,False
2000-02-18,1346.089966,BEAR,-0.0300255831362979,False
2000-02-25,1333.359985,BEAR,-0.00950200751138305,False
2000-03-03,1409.170044,BEAR,0.05529884880595804,False
2000-03-10,1395.069946,BEAR,-0.010056355289838432,False
2000-03-17,1464.469971,BEAR,0.0485488279482189,False
2000-03-24,1527.459961,BEAR,0.04211281714242982,False
2000-03-31,1498.579956,BEAR,-0.019088235900291937,False
2000-04-07,1516.349976,BEAR,0.011788151750073455,False
2000-04-14,1356.560059,BEAR,-0.11135398834946161,False
2000-04-21,1434.540039,BEAR,0.055892140408077835,False
2000-04-28,1452.430054,BEAR,0.012393785473432752,False
2000-05-05,1432.630005,BEAR,-0.013726133575036934,False
2000-05-12,1420.959961,BEAR,-0.008179247333747638,False
2000-05-19,1406.949951,BEAR,-0.009908466010820665,False
2000-05-26,1378.02002,BEAR,-0.020776505283183585,False
2000-06-02,1477.26001,BEAR,0.06954132653711807,False
2000-06-09,1456.949951,BEAR,-0.013843851422527552,False
2000-06-16,1464.459961,BEAR,0.005141371303120696,False
2000-06-23,1441.47998,BEAR,-0.015816197516441068,False
2000-06-30,1454.599976,BEAR,0.009060582549832845,False
2000-07-07,1478.900024,BEAR,0.01656765217994217,False
2000-07-14,1509.97998,BEAR,0.020797808041931595,False
2000-07-21,1480.189941,BEAR,-0.019925974405940735,False
2000-07-28,1419.890015,BEAR,-0.04159100366677103,False
2000-08-04,1462.930054,BEAR,0.02986189652747572,False
2000-08-11,1471.839966,BEAR,0.00607198473081335,False
2000-08-18,1491.719971,BEAR,0.013416501522468548,False
2000-08-25,1506.449951,BEAR,0.009826059829677406,False
2000-09-01,1520.77002,BEAR,0.009460941690468794,False
2000-09-08,1494.5,BEAR,-0.017425095947132176,False
2000-09-15,1465.810059,BEAR,-0.019383671791606095,False
2000-09-22,1448.719971,BEAR,-0.01172764301697044,False
2000-09-29,1436.51001,BEAR,-0.008463820194558625,False
2000-10-06,1408.98999,BEAR,-0.01934343917672459,False
2000-10-13,1374.170044,BEAR,-0.02502318404954997,False
2000-10-20,1396.930054,BEAR,0.01642706579021593,False
2000-10-27,1379.579956,BEAR,-0.012497937176599326,False
2000-11-03,1426.689941,BEAR,0.03357796145151185,False
2000-11-10,1365.97998,BEAR,-0.04348492946609681,False
2000-11-17,1367.719971,BEAR,0.0012729935736631069,False
2000-11-24,1341.77002,BEAR,-0.019155445909281605,False
2000-12-01,1315.22998,BEAR,-0.019978112703717195,False
2000-12-08,1369.890015,BEAR,0.04071891552330049,False
2000-12-15,1312.150024,BEAR,-0.04306342404975302,False
2000-12-22,1305.949951,BEAR,-0.004736323784116021,False
2000-12-29,1320.280029,BEAR,0.010913149519341872,False
2001-01-05,1298.349976,BEAR,-0.01674964822323163,False
2001-01-12,1318.550049,BEAR,0.015438476077463225,False
2001-01-19,1342.540039,BEAR,0.018030686029569396,False
2001-01-26,1354.949951,BEAR,0.009201145953412619,False
2001-02-02,1349.469971,BEAR,-0.004052615834949296,False
2001-02-09,1314.76001,BEAR,-0.02605775421009043,False
2001-02-16,1301.530029,BEAR,-0.010113629278245634,False
2001-02-23,1245.859985,BEAR,-0.04371447533282674,False
2001-03-02,1234.180054,BEAR,-0.009419216763779187,False
2001-03-09,1233.420044,BEAR,-0.0006159912415693198,False
2001-03-16,1150.530029,BEAR,-0.06956810347827701,False
2001-03-23,1139.829956,BEAR,-0.009343641101163959,False
2001-03-30,1160.329956,BEAR,0.017825319621872497,False
2001-04-06,1128.430054,BEAR,-0.027877075535799156,False
2001-04-13,1183.5,BEAR,0.04764881600860135,False
2001-04-20,1242.97998,BEAR,0.04903555623227623,False
2001-04-27,1253.050049,BEAR,0.008068912248033262,False
2001-05-04,1266.609985,BEAR,0.010763409926556682,False
2001-05-11,1245.670044,BEAR,-0.01667045528148482,False
2001-05-18,1291.959961,BEAR,0.036486841844848725,False
2001-05-25,1277.890015,BEAR,-0.010950122940575648,False
2001-06-01,1260.670044,BEAR,-0.013566931431171455,False
2001-06-08,1264.959961,BEAR,0.003397109724784284,False
2001-06-15,1214.359985,BEAR,-0.04082329360701259,False
2001-06-22,1225.349976,BEAR,0.009009321199453836,False
2001-06-29,1224.380005,BEAR,-0.0007919003793990164,False
2001-07-06,1190.589966,BEAR,-0.027985643490092423,False
2001-07-13,1215.680054,BEAR,0.020854681418588195,False
2001-07-20,1210.849976,BEAR,-0.003981062933120394,False
