update_time,Americas_deaths,Oceania_deaths,Africa_confirmed_cases,Africa_deaths,Africa_recovered,Asia_confirmed_cases,Asia_deaths,Asia_recovered,Europe_confirmed_cases,Europe_deaths,Europe_recovered,Americas_confirmed_cases,Americas_recovered,Oceania_confirmed_cases,Oceania_recovered
2020-02-26 02:30:00,0.001104261181369351,4.713798541529802e-05,0.9841258794204208,6.6020014800053295e-06,0.000549046550098891,1663.8914087271055,43.08583035387201,252.9524722837071,30.28193198609126,0.6981390340977517,2.3403427830396684,6.049482833210047,0.26739212192487505,6.530816683752805,0.5211921152351492
2020-02-26 03:00:00,0.0008677891279500324,3.510712083068892e-05,0.9878431049687133,4.577131588401925e-06,0.0004112823517901116,1680.8365313247366,43.56753222813738,260.3363971642651,30.289391495029577,0.696822315188193,2.344300424626208,6.075253047448708,0.26861305095974347,6.55797981054444,0.5231106886788806
2020-02-26 03:30:00,0.0006721803880879191,2.5584086289705352e-05,0.9908647971331404,3.0098321507855057e-06,0.0003015113083601785,1696.6499121474717,43.94651509049573,269.17852474014217,30.298117586624024,0.6958919222226807,2.34771266086545,6.096023639855776,0.2696029979692032,6.580036675364063,0.5246693294326519
2020-02-26 04:00:00,0.0005145195145303564,1.8165759735195002e-05,0.9932675700908594,1.8217290707848045e-06,0.00021584261616723437,1716.6398072190223,44.36378016042441,280.4255462687149,30.306770774107573,0.6952455530489589,2.3505561394474643,6.112435441003711,0.27038820524552976,6.597556902886893,0.5259077236734623
2020-02-26 04:30:00,0.0003901758292003711,1.2467951369769803e-05,0.9951418590881074,9.348860124360142e-07,0.00015010608872789016,1742.2100160335444,44.849352889291296,294.74206036259125,30.314559868530303,0.6948017116067703,2.3528601168091203,6.125189175462582,0.2709991420684505,6.611210106301829,0.5268728617838505
2020-02-26 05:00:00,0.00029389142175247854,8.144964606940407e-06,0.9965795341505985,2.8046293202167293e-07,0.00010036340513389953,1775.506172450133,45.45053598986037,313.05749746569984,30.32110062774472,0.6944989925686504,2.3546851161942026,6.1349704641205625,0.27146642665574705,6.621673789945048,0.527612449780787
2020-02-26 05:30:00,0.00022049378699618566,4.899361691582333e-06,0.9976659887623285,-1.9849716215982957e-07,6.315617848108059e-05,1819.5148062925189,46.234870273500285,336.6325760670235,30.326273016283388,0.6942928475353205,2.3561058853537644,6.142405772019712,0.2718182783667611,6.62957559464242,0.5281707681504049
2020-02-26 06:00:00,0.00016529664719258479,2.484065775259234e-06,0.9984760251705398,-5.471960823945094e-07,3.558976059446321e-05,1873.6219145247967,47.16780159765321,366.6879794314934,30.33010620172648,0.6941518690510483,2.3572000624071032,6.148043372005416,0.2720792215931007,6.635463821186592,0.5285865473656435
2020-02-26 06:30:00,0.00012427864717797724,6.995099538222808e-07,0.9990724344220003,-8.004814487582129e-07,1.53231917607681e-05,1938.556557161331,48.255437257870426,404.7386271489882,30.332695578558045,0.694054449215161,2.3580418725018593,6.152351814062515,0.2722696570556995,6.639797703284028,0.5288922533139424
2020-02-26 07:00:00,9.4120469954391e-05,-6.118691052974662e-07,0.9995062560073824,-9.846494914650481e-07,5.118582839958724e-07,2017.436474632258,49.58161743209904,452.5055866312681,30.334146628355455,0.6939860930124826,2.3586996342733912,6.155729565137994,0.2724059594914589,6.6429498392680255,0.5291142421579071
2020-02-26 07:30:00,7.216142230521971e-05,-1.572155204530466e-06,0.9998179449981698,-1.119218785848705e-06,-1.0268348382755713e-05,2113.885019859478,51.26819410853044,511.4109069223054,30.334537978966853,0.6939374071298263,2.3592359503120113,6.158521405583144,0.27250084588700635,6.645215103948475,0.5292733799716122
2020-02-26 08:00:00,5.6317206595695585e-05,-2.274463846380602e-06,1.0000389232164228,-1.2184880364671832e-06,-1.809885829288059e-05,2226.2362175321264,53.33338411188976,581.4498826736981,30.33389647132896,0.6939026873628688,2.3597097646993492,6.161039018531158,0.27256384084919133,6.646822232770722,0.529385855518025
2020-02-26 08:30:00,4.49850497770141e-05,-2.7888730526380925e-06,1.0001931923674083,-1.2928202028438624e-06,-2.378971464473377e-05,2352.2910997771796,55.84200748361923,661.3210003526957,30.33217843457571,0.6938790091099684,2.360179810527321,6.163584731235813,0.2726017304343435,6.647945757521517,0.5294640203304604
2020-02-26 09:00:00,3.6951167127183965e-05,-3.16752141004328e-06,1.0002988317790287,-1.3496588877075677e-06,-2.794071814323125e-05,2490.711311926226,58.96647151312115,748.015982276157,30.329252893679218,0.6938657437886548,2.3607092761714483,6.166478546775936,0.27261894087741523,6.648717029620197,0.5295171654762308
2020-02-26 09:30:00,3.130808541162034e-05,-3.448816459534392e-06,1.0003692988890305,-1.3943102954674827e-06,-3.0991633477051375e-05,2641.040083160044,63.003689655996695,836.3366227056616,30.324883848086735,0.6938644594915121,2.3613717789493176,6.17008950712634,0.27261780719244466,6.649233758725751,0.529552193616823
2020-02-26 10:00:00,2.7384723318288166e-05,-3.660805731695938e-06,1.0004145088985557,-1.4305323210989486e-06,-3.3262147117393837e-05,2803.525040237,68.35741796653525,919.0432744858288,30.31871012016689,0.6938792092674553,2.3622589569541006,6.174873127357552,0.2725987128489904,6.6495679133766625,0.5295741747862952
2020-02-26 10:30:00,2.468946930852048e-05,-3.8238147245725496e-06,1.0004417024639098,-1.4609711963977203e-06,-3.498292562769713e-05,2979.791656649225,75.46481039415337,989.0337659313403,30.310222810431217,0.6939172643961802,2.363490186533041,6.181417177006212,0.2725600897889938,6.649772061755408,0.5295867907231266
