update_time,Americas_deaths,Oceania_deaths,Africa_deaths,Africa_recovered,Africa_confirmed_cases,Asia_confirmed_cases,Asia_deaths,Asia_recovered,Europe_confirmed_cases,Europe_deaths,Europe_recovered,Americas_confirmed_cases,Americas_recovered,Oceania_confirmed_cases,Oceania_recovered
2020-03-05 10:00:00,0.11353632807692896,0.0250134786310516,0.00021715611670217617,0.032015402188228834,1.185445620585302,3477.266021896948,112.81167490365932,1404.9381301223643,108.09378876156137,2.736794227104598,7.875194524564517,7.706908574059983,0.37759614154457216,6.852147019711647,0.7807138340974136
2020-03-05 10:30:00,0.12009150012966341,0.02576946520750889,0.00021684329801453708,0.032880695773306406,1.1879764853424502,3541.2174373825874,115.63106749100962,1440.6837571285287,109.56282419042734,2.777207563790242,7.992625151868293,7.79664155456192,0.3777483007135971,6.8549816561675465,0.7937517608564401
2020-03-05 11:00:00,0.12748599065900867,0.026592632181024978,0.00021647881305789487,0.03365054509052906,1.1918540239599664,3600.4902300044882,118.25801648277424,1473.5165409787387,111.17692262242343,2.8221363743692254,8.122905117338414,7.891665706256969,0.37796304262511804,6.859265340530052,0.8073223773185528
2020-03-05 11:30:00,0.1356766209898499,0.027472179992064572,0.00021606187394302345,0.03431623896824633,1.1970652607318208,3654.2298974086175,120.65635623689991,1502.9732105268329,112.89151415034642,2.870384948194954,8.262656556647947,7.991510319378016,0.378260579444405,6.86496332071666,0.8212853770955724
2020-03-05 12:00:00,0.14460799504054975,0.028396631462409404,0.00021559169083375154,0.03487049434265035,1.2035904089648046,3701.6561531913003,122.79283787926538,1528.6342306209604,114.66044819999765,2.920705219903081,8.40834553353385,8.095600214295166,0.3786580941063732,6.872032280376884,0.8354896253206713
2020-03-05 12:30:00,0.15421240037455036,0.029354096358199758,0.00021506747208359595,0.035307660788862376,1.2114029055304285,3742.0803661207988,124.63787545271947,1550.1338796114983,116.43691722166588,2.9718208147325846,8.556349592656618,8.203257629306215,0.3791694012922854,6.880421504173067,0.8497756132913472
2020-03-05 13:00:00,0.16440989660111197,0.03033253838307201,0.0002144884243749901,0.035623890528178104,1.2204692461666007,3774.921542714146,126.16623541542455,1567.1694889496828,118.17439993609936,3.0224519217747625,8.703027928718042,8.313706489049183,0.37980471874109695,6.890073953913807,0.8639781994401907
2020-03-05 13:30:00,0.17510862767267693,0.03132003704407235,0.00021385375286129583,0.03581726788114646,1.2307486469412974,3799.7203360218946,127.35764672950633,1579.5095249862773,119.82760633729197,3.071340554111316,8.84479293070287,8.426079178449886,0.38057054791835837,6.900927223220015,0.8779295775128981
2020-03-05 14:00:00,0.18620539111573947,0.03230503665839857,0.00021316266131144682,0.03588789351740225,1.2421925705213626,3816.150613897091,128.19731083979906,1587.0002237012288,121.35340525916503,3.1172757018737465,8.978181699417771,8.539425876514635,0.38146965874272526,6.912914341655841,0.8914624000179917
2020-03-05 14:30:00,0.19758649131491132,0.033276574873085156,0.00021241435225731204,0.03583792045107051,1.2547441676099023,3824.0281925302497,128.67629388957852,1589.5705337730694,122.71171437990836,3.1591178424807036,9.099926006940875,8.6527264247061,0.3825011693478444,6.925964403481874,0.904412974129091
2020-03-05 15:00:00,0.20912889573293944,0.03422448349120912,0.0002116080271437901,0.03567154046339862,1.2683376934907873,3823.316432369638,128.79178741598702,1587.2351800521658,123.86633220832755,3.195822246456926,9.207019082204656,8.76490461885701,0.38366070891451315,6.940003001642789,0.9166244390990741
2020-03-05 15:30:00,0.22070170262054445,0.035139555159522655,0.0002107428864817078,0.03539492141153383,1.2828979664431737,3814.1284992456235,128.54722831830142,1580.095725284529,124.78569198334756,3.226460511308545,9.296777579635755,8.874844724859587,0.38494064956931906,6.954952454490068,0.9279498296236074
2020-03-05 16:00:00,0.2321679167189613,0.03601367057559259,0.00020981813000340828,0.035016097610909035,1.298339938322144,3796.726208170142,127.95227386105108,1568.33957940056,125.4435185920342,3.2502397727838512,9.36689712627024,8.98140993039691,0.38633039227602534,6.970731821170422,0.9382549290487759
2020-03-05 16:30:00,0.24338651618920515,0.036839882296193595,0.00020883295682114526,0.0345448170691359,1.3145684474078319,3771.515484899659,127.0226325986788,1552.2369790310606,125.81937159468208,3.26651908390718,9.415499951656416,9.083462361681555,0.38781669154674403,6.987256711555201,0.9474208202173593
2020-03-05 17:00:00,0.25421478013631854,0.03761245292710427,0.0002077865655882253,0.03399235072215887,1.3314782194144144,3739.038594775893,125.77975711797527,1532.1360312340971,125.89906020486197,3.274822517231162,9.441173284075083,9.17988421952779,0.3893840046123056,7.004438907854251,0.9553460501929945
2020-03-05 17:30:00,0.26451083234434775,0.038326847378357926,0.0002066781546629817,0.03337126991442586,1.3489541742162106,3699.963393693144,124.25040912821024,1508.455980971806,125.67491952016576,3.2748486329161395,9.442997441180477,9.26959952695746,0.39101485230016225,7.0221858272779745,0.9619483379045266
2020-03-05 18:00:00,0.2741363439610154,0.038979680888679195,0.00020550692227553746,0.032695199129050403,1.3668720835015906,3655.0699470465343,122.46611145410677,1481.6789183521182,125.14594129726602,3.2664760610091297,9.420562843406923,9.351595934421379,0.3926901811112881,7.040399867731861,0.9671657704328751
2020-03-05 18:30:00,0.2829593266402987,0.039568626553004534,0.0002042720666973626,0.03197855138832126,1.385099608556646,3605.2349349675455,120.46250471448286,1452.3401863810325,124.3177569317997,3.2497650657481802,9.373975520559616,9.424946001529612,0.39438971866655154,7.058977690834583,0.9709574534605339
2020-03-05 19:00:00,0.29085693879496965,0.04009228801332577,0.00020297278641374754,0.03123625380912766,1.4034977283082979,3551.414313109941,118.27862876588296,1421.0177811095539,123.20247482785592,3.2249550868744055,9.303851048842127,9.488827368071378,0.39609231758718333,7.077809507704458,0.9733036033228409
2020-03-05 19:30:00,0.29771822176530705,0.040550044679958666,0.00020160828029901212,0.03048347053343809,1.4219225464602534,3494.6247262174834,115.9561502850824,1388.3210526825662,121.81837879584904,3.1924583811497733,9.211297228057775,9.542541243266447,0.3977762857548272,7.096778442049239,0.9742050909678601
2020-03-05 20:00:00,0.3034466803687317,0.040941878228979704,0.000200177747794612,0.029735329701784587,1.4402274440898137,3435.924176693368,113.53855815161388,1354.8790179377092,120.18949827375539,3.152850009731268,9.097886167079148,9.58552868074542,0.3994197035433023,7.115760051206629,0.9736824706774087
2020-03-05 20:30:00,0.3079626237682208,0.041268190078275015,0.00019868038909005934,0.029006660354288755,1.4582655216640001,3376.3924338498177,111.07034762906761,1321.3285838096435,118.34506481388289,3.106854527234738,8.965616770896373,9.617384166680726,0.4010007308276897,7.134622088078049,0.9717745473448929
2020-03-05 21:00:00,0.31120518797981067,0.041529620008068514,0.00019711540530686997,0.028311744196502616,1.475892253412628,3317.1116341711677,108.59621284555547,1288.302957626643,116.31887223569616,3.0553298205138275,8.816868897753675,9.637866127609861,0.40249790819281517,7.153224584689887,0.9685365542470572
2020-03-05 21:30:00,0.3131339704930611,0.04172687601891205,0.00019548199868519613,0.02766408612926123,1.4929682587263153,3259.147472526933,106.16026489850138,1256.4204878463904,114.14855997877693,2.9992486148516586,8.654350666519257,9.646904059561326,0.4038904576644973,7.171420330949516,0.9640380275555868
2020-03-05 22:00:00,0.3137302200308027,0.04186058490024377,0.00019377937277344215,0.02707620638611236,1.5093620810328772,3203.5313232870967,103.80529024794095,1226.2741397144898,111.8748404157704,2.939678209386972,8.481040533213214,9.644602086942985,0.4051585884083885,7.189055809876638,0.9583604735224553
2020-03-05 22:30:00,0.31299753983592016,0.04193117183914206,0.0001920067326207399,0.026559456117179463,1.5249528555977476,3151.243563547319,101.57206112397314,1198.4217678101788,109.54069117797566,2.8777590208321335,8.30012581707823,9.631238873411256,0.4062838121757439,7.2059726333639595,0.951594928850432
2020-03-05 23:00:00,0.31096208026927186,0.04193877578859304,0.00019016328497240432,0.026123857363700043,1.5396327448015,3103.1983030008437,99.49870666789712,1173.3773045273085,107.19053293923606,2.8146825052933373,8.114939341281298,9.607263922313573,0.40724927187387006,7.2220095008966405,0.9438395140691096
2020-03-05 23:30:00,0.3076722150240955,0.04188320532444821,0.00018824823846824365,0.02577796762935302,1.553309023253781,3060.2296608980037,97.62015065014685,1151.6029430575138,104.86941168453802,2.751668994348444,7.928895766684071,9.573290415885905,0.40804008460660646,7.237004678534924,0.9351970739573368
2020-03-06 00:00:00,0.3031977139220725,0.041763937462139945,0.00018626080384380374,0.02552876870392263,1.5659057058027948,3023.079673885153,95.96761903314172,1133.5023578154542,102.6222023925277,2.6899459270240245,7.745429048817386,9.530084845020609,0.4086436980195292,7.2507989680544,0.9257729886842252
2020-03-06 00:30:00,0.2976284430581917,0.041580159507662265,0.00018420019413458756,0.02538157904632838,1.5773646288579564,2992.3878723149087,94.56821850948182,1119.4149763284702,100.49284845618415,2.6307268886675246,7.567932251414493,9.478553770479023,0.40905025598499584,7.263239107911742,0.9156732251580113
2020-03-06 01:00:00,0.2910726390665672,0.04133085162096391,0.0001820656248831586,0.025339988885289527,1.587645918784648,2968.6825288331543,93.44458553820263,1109.611295594399,98.52364824632949,2.5751917864711875,7.399700720193304,9.419728128131695,0.40925296678681206,7.2741815202890905,0.9050026810627707
2020-03-06 01:30:00,0.283654817668892,0.041014905512324853,0.00017985631434926097,0.025405817228771176,1.5967278093574402,2952.373562510549,92.61460436940737,1104.289223263236,96.75459719075593,2.5244684055136157,7.243879374883315,9.354745542461355,0.4092484642352914,7.283496293546589,0.8938638553509113
2020-03-06 02:00:00,0.27551338679694093,0.04063127270280201,0.00017757148372294761,0.025579090155852253,1.6046058019065366,2943.747074190429,92.0911920876977,1103.5714194736136,95.22279079491094,2.479615504571252,7.103414632677518,9.284831142676222,0.4090371497762036,7.291071268587614,0.882355859719438
2020-03-06 02:30:00,0.266798041020698,0.04017913416994332,0.000175210357340614,0.025858040053547214,1.6112911951102875,2942.9614926857353,91.88214876874618,1107.5036178554644,93.96189134803173,2.4416075331366334,6.981011248181467,9.21127738415301,0.4086235018449833,7.29681608233031,0.8705737669723148
2020-03-06 03:00:00,0.25766701657260027,0.039658082056171745,0.00017277216290418305,0.026239125805368954,1.6168090444438334,2950.0453246432085,91.99007134169695,1116.0539125968487,93.00165879236454,2.411320984826334,6.879094157265087,9.1354233656092,0.40801633761804884,7.3006660127927825,0.8586082751914532
2020-03-06 03:30:00,0.24828428498842986,0.03906830349562158,0.00017025613170321922,0.026717074282972077,1.621195642104605,2964.896520216305,92.41233056027066,1129.113010612872,92.36754449634701,2.3895223513910437,6.799775255818155,9.05863410157022,0.4072290120361684,7.3025854689529375,0.8465456521613342
2020-03-06 04:00:00,0.23881675857122053,0.03841075653832261,0.00016766149884022297,0.027284943781952623,1.6244956348914634,2987.2834885443835,93.14111146122269,1146.4954614945616,92.08034553602447,2.3768576083293516,6.744824936580491,8.982280163459318,0.4062795395749775,7.30257097479463,0.8344679131506327
2020-03-06 04:30:00,0.22943157301559253,0.037687328606767184,0.00016498750345908184,0.027934210226679055,1.6267589183155993,3016.847817571976,94.16351867101169,1167.941890672962,92.15591657727646,2.373843148764826,6.71564815142106,8.907718044785371,0.40519062570983494,7.3006535105715225,0.8224531773318274
