update_time,Asia_confirmed_cases,Asia_deaths,Asia_recovered,Europe_confirmed_cases,Europe_deaths,Europe_recovered,Americas_confirmed_cases,Americas_deaths,Americas_recovered,Oceania_confirmed_cases,Oceania_deaths,Oceania_recovered,Africa_confirmed_cases,Africa_deaths,Africa_recovered
2020-03-09 03:00:00,-3.88266989725581e+192,-1.300352955530145e+191,-7.062818478689424e+191,-2.5137616912580385e+130,-6.69513422083151e+128,-6.323918282053152e+128,-4.070665224718411e+118,-1.503426503204084e+116,6.135968825443698e+116,3.0591985790858043e+58,-7.086638931644214e+55,5.282717502965937e+57,-6.563688453247913e+51,3.0522081355709684e+49,4.451208725653021e+50
2020-03-09 03:30:00,-3.9742552637247597e+192,-1.3310259988539906e+191,-7.229417967130837e+191,-2.643503915803434e+130,-7.040688698196361e+128,-6.6503132735160604e+128,-4.557022207027141e+118,-1.6830536493481686e+116,6.869085187694228e+116,3.412904493769452e+58,-7.905999310040275e+55,5.8935076749999835e+57,-7.535553202657596e+51,3.504139014977903e+49,5.110285231725594e+50
2020-03-09 04:00:00,-4.066521111827662e+192,-1.3619269436805155e+191,-7.39725529406758e+191,-2.7748418437162015e+130,-7.390493160055502e+128,-6.980722606404057e+128,-5.050493081826503e+118,-1.8653081828881493e+116,7.612924765959037e+116,3.7717631329113246e+58,-8.737295983786383e+55,6.513195728938159e+57,-8.521965517424813e+51,3.96283471840712e+49,5.77922726543757e+50
2020-03-09 04:30:00,-4.1594592261891695e+192,-1.3930530385818408e+191,-7.566315515220325e+191,-2.9077741938160907e+130,-7.744544194129e+128,-7.315143057631459e+128,-5.551091608357796e+118,-2.0501951855518445e+116,8.367508300414915e+116,4.1357841604352367e+58,-9.580551339365183e+55,7.141798352742804e+57,-9.52295833844526e+51,4.428310563845888e+49,6.458057165880568e+50
2020-03-09 05:00:00,-4.253061112829753e+192,-1.4244014388209356e+191,-7.736583179507362e+191,-3.0422993264334373e+130,-8.102837433334902e+128,-7.653570502249519e+128,-6.058830266875384e+118,-2.2377192666966642e+116,9.132854603323712e+116,4.504976308909382e+58,-1.0435785605791564e+56,7.779330626079342e+57,-1.0538562069904863e+52,4.900580689667129e+49,7.146795551841895e+50
2020-03-09 05:30:00,-4.347317996265191e+192,-1.4559692053831272e+191,-7.908042323779255e+191,-3.1784152376949274e+130,-8.465367540564293e+128,-7.995999899074152e+128,-6.573720234335611e+118,-2.4278845543291297e+116,9.908980522416642e+116,4.879347361932957e+58,-1.130301681378892e+56,8.42580598990163e+57,-1.1568804529821787e+52,5.379658031649726e+49,7.845461288317358e+50
2020-03-09 06:00:00,-4.442220816782933e+192,-1.4877533040614244e+191,-8.080676467854332e+191,-3.31611955404489e+130,-8.832128194110441e+128,-8.342425276906265e+128,-7.095771360966421e+118,-2.6206946864497828e+116,1.0695900905562926e+117,5.258904137143918e+58,-1.2182260756410487e+56,9.081236217107749e+57,-1.2613710902466782e+52,5.865554300828267e+49,8.554071454157218e+50
2020-03-09 06:30:00,-4.5377602275566273e+192,-1.519750604490134e+191,-8.254468609269554e+191,-3.455409526473566e+130,-9.203112072287827e+128,-8.692839720016055e+128,-7.6249921456443565e+118,-2.8161528019680645e+116,1.149362856364379e+117,5.643652468349844e+58,-1.307353094771161e+56,9.74563138171145e+57,-1.367330368815385e+52,6.358279960175194e+49,9.272641308123023e+50
2020-03-09 07:00:00,-4.633926591902774e+192,-1.5519578792287262e+191,-8.42940121830109e+191,-3.596282024960226e+130,-9.57831083860911e+128,-9.047235354144267e+128,-8.161389711979788e+118,-3.0142615318594448e+116,1.2302174234533065e+117,6.033597188227407e+58,-1.3976838582586097e+56,1.0418999828915627e+58,-1.4747602654691476e+52,6.857844201991171e+49,1.0001184255859802e+51
2020-03-09 07:30:00,-4.730709980479282e+192,-1.5843718028207365e+191,-8.60545623285523e+191,-3.7387335327417874e+130,-9.957715126561766e+128,-9.405603332104702e+128,-8.704969783770976e+118,-3.2150229901061026e+116,1.3121546546068658e+117,6.428742110494338e+58,-1.4892192495505377e+56,1.1101348144366547e+58,-1.5836624787298502e+52,7.36425492465316e+49,1.0739711816027758e+51
